business_name,category_desc,street,city,post_code,latitude,longitude,reviews_count,review_score,hygiene_score,place_id,BusinessName,PostCode,RatingValue,compare_name,compare_post
Nando's Park Royal,"Restaurant, Chicken restaurant, Delivery service, Delivery Restaurant, Portuguese restaurant, South African restaurant","Unit 1, Royale Leisure Park, Kendal Ave",London,W3 0XA,51.525137,-0.280122,2618,4.1,,ChIJBzzUL_gRdkgRG7_RlHF0NFk,,,,,
Spice Shack,"Restaurant, Indian restaurant, Takeout Restaurant",63 Park Royal Rd,London,NW10 7JJ,51.5294636,-0.268152,398,4.3,,ChIJ6VehZu4RdkgRAGsYd0tMRrQ,Spice Shack,NW10 7JJ,5,,
Mama restaurant & cafe,Restaurant,73 Old Oak Common Ln,London,W3 7DD,51.514759,-0.2495403,22,4.9,,ChIJD59WhGoRdkgR3TUET60CtjA,,,,,
Gorilla Grill,Restaurant,Unit 101 Portal Way,London,W3 6RT,51.5204382,-0.2622306,0,,,ChIJQ5Pc0OYRdkgRZcr6JMno4Ms,,,,,
A TO Z RESTAURANT,Restaurant,150 Horn Ln,London,W3 6PG,51.514316,-0.2689659,0,,,ChIJO-E4Zx0OdkgRWhlXlfF9jf8,,,,,
Giant's Diner,"Restaurant, Breakfast restaurant",Hythe Rd,London,NW10 6RS,51.527268,-0.2394936,45,3.2,,ChIJC6l-t80RdkgRNvU8MsMYTsY,,,,,
Nova Park Royal,"Steak house, Hookah bar, Restaurant, Sushi restaurant",Kendal Ave,London,W3 0PA,51.5251409,-0.2797155,1070,3.9,,ChIJ90-NjYIRdkgRRUjhgPAmptA,,,,,
The Balti House,"Indian restaurant, Indian takeaway",212 Horn Ln,London,W3 6PL,51.5164605,-0.2672038,309,4.5,,ChIJOTHQW-IRdkgR6QLyuA5CIzk,,,,,
Elite Restaurant,Restaurant,860a Coronation Rd,London,NW10 7PS,51.5279464,-0.2773599,53,3.7,,ChIJT5CRDDERdkgRhIVQtO8FQhY,,,,,
Flames Express,Fast food restaurant,26-28 Standard Rd,London,NW10 6EU,51.5284514,-0.2629041,94,4.8,,ChIJ_fXPrfgRdkgRD9jmMetuEdI,Flames Express,NW10 6EU,5,,
Al Enam,"Middle Eastern restaurant, Caterer, Restaurant","Acton Business Centre, School Rd",London,NW10 6TD,51.5262396,-0.2583105,1345,4.3,,ChIJg4wor8IRdkgRSx6PV5ApONI,Al Enam,NW10 6TD,5,,
Hamadia Restaurant and Sweet,"Chicken restaurant, Restaurant","Unit 6, 26-28 Standard Rd",London,NW10 6EU,51.5286261,-0.2630968,82,4.4,,ChIJ48DzL0ARdkgRJLc5kqmcsBM,,,,,
Dong yuan,Asian restaurant,10 School Rd,London,NW10 6TD,51.5254073,-0.2580441,5,4.2,,ChIJT9eorUkRdkgRaVOsHKvDZRs,,,,,
Old Oak Cafe,"Breakfast restaurant, Lunch restaurant",2 Victoria Rd,London,NW10 6EG,51.5280838,-0.2505452,168,4.3,,ChIJY6O3VsQRdkgRSNFqY3LUYzM,Old Oak Cafe,NW10 6EG,3,,
East Garden Restaurant,Chinese restaurant,"Acton Business Centre, School Rd",London,NW10 6TD,51.5259206,-0.2583212,0,,,ChIJGfuT9SsRdkgRyDexY-UAVQM,,,,,
Magic Wok,"Fast food restaurant, Chinese takeaway, Takeout Restaurant",94 Old Oak Common Ln,London,W3 7DA,51.5149287,-0.2491041,122,4,,ChIJsynziScOdkgRrBY6oAIEziM,Magic Wok,W3 7DA,4,,
Yasmina Restaurant and Bakery,Lebanese restaurant,18 Western Ave,London,W3 7TZ,51.514152,-0.250375,400,4.4,,ChIJfd6AcCcOdkgRYYBrbio5RNM,,,,,
Yo Yo Kitchen,"Japanese restaurant, Fast food restaurant","4 Station Parade, Noel Rd",London,W3 0DS,51.5175998,-0.2809648,244,4.7,,ChIJe4lODP8RdkgR35mZZuiEjt4,,,,,
Spicy bite Burger and Grill,"Hamburger restaurant, Fried chicken takeaway, Kebab shop",196A Du Cane Rd,London,W12 0BJ,51.5156195,-0.2438934,4,2,,ChIJkx8KNMYRdkgRaXnSv0EhGm0,,,,,
Miod Malina Restaurant,"Polish restaurant, Restaurant",315 Horn Ln,London,W3 0BU,51.518849,-0.2658906,837,4.7,,ChIJj_ba6eMRdkgRCcGYEmMZWP0,Miod Malina Restaurant,W3 0BU,5,,
Manuel's Italian and Mediterranean Restaurant and Bar,"Mediterranean restaurant, Bar, Italian restaurant",129 Gipsy Hill,London,SE19 1QS,51.4277105,-0.0861663,274,4.7,,ChIJs6U87FYBdkgRxBz2KGVcwiw,,,,,
Cafe Castelo restaurant,Restaurant,369 Norwood Rd,London,SE27 9BQ,51.4398236,-0.1060675,460,4.3,,ChIJ-bmkyBoEdkgRh8NVVlvKUrM,,,,,
The Garden,"Italian restaurant, Cocktail bar, Pizza restaurant, Restaurant, Tapas bar",31 Knights Hill,London,SE27 0HS,51.430771,-0.1042265,259,4.7,,ChIJU0V7HqgGdkgRuVaYNXWwtqI,,,,,
