title,totalScore,reviewsCount,street,city,countryCode,website,phone,categoryName,url
Sticks'n'Sushi Wimbledon,4.5,1410,58 Wimbledon Hill Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJXQPptbcIdkgR1vxezCwUCcs
Sumo Fresh,4.3,491,141 High St.,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJGQSsvRWn2EcROQlCgkkF97g
Yokoso Sushi Ilford,3.6,106,347 Eastern Ave,Ilford,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJh4jZIeqm2EcRxLclJmud6II
米 Kome Express - Ilford,4.1,68,2 Chapel Rd,Ilford,GB,,,Japanese restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ_TYPCLin2EcRJWcH_Iqv7PM
Koi Sushi Garden,3.9,466,156 The Grove,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJxfTYGnWn2EcRfRA95x_AM9A
YUME (Sushi Restaurant & Takeaway),4.7,114,293 High Rd Leytonstone,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJTX6r5Sin2EcRuwAW-EKcMnA
Ookii Sushi,4.8,102,132 Hermon Hill,London,GB,,,Japanese restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ3WlP3jen2EcROHxnzJlDiec
IRO Sushi,3.6,39,"The Stratford Centre, 49-51 The Mall",London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJk7It0w4ddkgRmO7e9x-jjqI
Oki Sushi London,3.8,385,10 The Broadway,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJx5rcZLoIdkgRiZOUaROfyvc
YO! Westfield Stratford,3.9,1876,"212b, The Balcony, Westfield stratford city, Montfichet Rd",London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJEczp0WMddkgRXq9XAlgSjNo
Tokyo Express,4,100,75 Portway,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJD-hdopKn2EcRI_Q5cH1xFeQ
TOKYO SUSHI,2.7,19,"The Vicarage Field Shopping Centre, 2, Ripple Rd",Barking,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJP7pqbm2m2EcRAI1cqBlWszg
Mo Sushi,4.1,14,135 Tilbury Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJVahvU44ddkgRCy9mqm6TeaI
The Sushi Co - Wimbledon,4.6,86,42 Wimbledon Hill Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJuzax6yYJdkgR-MCFp2YS-FI
Ohba Leaf Kitchen WALTHAMSTOW,4.7,135,125 Grove Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJr2DCIO0ddkgRQvFJB18eakY
Satori Kitchens - Wimbledon,3.7,28,419 Kingston Rd,London,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJvy89VG0JdkgRx0iypH6EQ5s
米 kome japanese sushi,4.2,255,606 Chigwell Rd,Woodford Green,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJaSJUbCmh2EcRVpkZHovu-cU
SUSHI HANDROLL,4.3,69,57 Green Ln,Ilford,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ1cmbqsan2EcRuOSJnDAkVLE
