"address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categories/10","categoryName","city","countryCode","isAdvertisement","location/lat","location/lng","neighborhood","permanentlyClosed","placeId","postalCode","rank","reviewsCount","searchPageLoadedUrl","searchPageUrl","searchString","state","street","temporarilyClosed","title","totalScore","url"
"18 Chase Side, London N14 5PA, United Kingdom","Sandwich shop",,,,,,,,,,,"Sandwich shop","London","GB","false","51.6328609","-0.1283206","18 Chase Side","false","ChIJAeKNXw0ZdkgR78qwfUWDYOA","N14 5PA","1","192","https://www.google.com/maps/search/sandwich+shop/@51.6490995,-0.1563842,15z?hl=en&entry=ttu","https://www.google.com/maps/search/sandwich%20shop/@51.64909951995193,-0.15638423653233663,15z?hl=en","sandwich shop",,"18 Chase Side","false","Alex's Cypriot Sandwiches and Soup","4.9","https://www.google.com/maps/search/?api=1&query=sandwich shop&query_place_id=ChIJAeKNXw0ZdkgR78qwfUWDYOA"
"22 Crescent W, Hadley Wood, Barnet EN4 0EJ, United Kingdom","Sandwich shop",,,,,,,,,,,"Sandwich shop","Barnet","GB","false","51.6682911","-0.1770457","22 Crescent W","false","ChIJzZ9OCBoYdkgRTaIYlWBsoho","EN4 0EJ","2","34","https://www.google.com/maps/search/sandwich+shop/@51.6490995,-0.1563842,15z?hl=en&entry=ttu","https://www.google.com/maps/search/sandwich%20shop/@51.64909951995193,-0.15638423653233663,15z?hl=en","sandwich shop",,"22 Crescent W","false","Panini's","4.8","https://www.google.com/maps/search/?api=1&query=sandwich shop&query_place_id=ChIJzZ9OCBoYdkgRTaIYlWBsoho"
"370A Green Lanes, London N13 5PE, United Kingdom","Sandwich shop",,,,,,,,,,,"Sandwich shop","London","GB","false","51.6208147","-0.10589","370A Green Lanes","false","ChIJnR_R-TcZdkgRPCd8VHWv3YQ","N13 5PE","3","114","https://www.google.com/maps/search/sandwich+shop/@51.6490995,-0.1563842,15z?hl=en&entry=ttu","https://www.google.com/maps/search/sandwich%20shop/@51.64909951995193,-0.15638423653233663,15z?hl=en","sandwich shop",,"370A Green Lanes","false","Mikes","4.9","https://www.google.com/maps/search/?api=1&query=sandwich shop&query_place_id=ChIJnR_R-TcZdkgRPCd8VHWv3YQ"
"99 Chase Side, London N14 5BU, United Kingdom","Sandwich shop","Bakery","Bar","Breakfast restaurant","Coffee roasters","Coffee shop","Coffee store","Lunch restaurant","Pharmaceutical company","Salad shop",,"Sandwich shop","London","GB","false","51.6337239","-0.1330117","99 Chase Side","false","ChIJ2fr_dEsZdkgRCkIfy5cL0b8","N14 5BU","4","53","https://www.google.com/maps/search/sandwich+shop/@51.6490995,-0.1563842,15z?hl=en&entry=ttu","https://www.google.com/maps/search/sandwich%20shop/@51.64909951995193,-0.15638423653233663,15z?hl=en","sandwich shop",,"99 Chase Side","false","Pret A Manger","3.1","https://www.google.com/maps/search/?api=1&query=sandwich shop&query_place_id=ChIJ2fr_dEsZdkgRCkIfy5cL0b8"
"1294 High Rd, London N20 9HY, United Kingdom","Sandwich shop","Fast food restaurant","Takeout Restaurant","Restaurant",,,,,,,,"Sandwich shop","London","GB","false","51.631047","-0.1748498","1294 High Rd","false","ChIJK3Icj88ZdkgR5attmXIbLs8","N20 9HY","5","401","https://www.google.com/maps/search/sandwich+shop/@51.6490995,-0.1563842,15z?hl=en&entry=ttu","https://www.google.com/maps/search/sandwich%20shop/@51.64909951995193,-0.15638423653233663,15z?hl=en","sandwich shop",,"1294 High Rd","false","Subway","4.7","https://www.google.com/maps/search/?api=1&query=sandwich shop&query_place_id=ChIJK3Icj88ZdkgR5attmXIbLs8"
"14 Chase Side, London N14 5PA, United Kingdom","Sandwich shop","Fast food restaurant","Takeout Restaurant","Restaurant",,,,,,,,"Sandwich shop","London","GB","false","51.6328072","-0.1280514","14 Chase Side","false","ChIJif5N5hoZdkgRvi-DpqMubZ0","N14 5PA","6","72","https://www.google.com/maps/search/sandwich+shop/@51.6490995,-0.1563842,15z?hl=en&entry=ttu","https://www.google.com/maps/search/sandwich%20shop/@51.64909951995193,-0.15638423653233663,15z?hl=en","sandwich shop",,"14 Chase Side","false","Subway","3.1","https://www.google.com/maps/search/?api=1&query=sandwich shop&query_place_id=ChIJif5N5hoZdkgRvi-DpqMubZ0"
"7D High St, Barnet EN5 5UE, United Kingdom","Sandwich shop","Fast food restaurant","Takeout Restaurant","Restaurant",,,,,,,,"Sandwich shop","Barnet","GB","false","51.6512345","-0.1970717","7D High St","false","ChIJ5ckPhoUXdkgRoqRjUNdo0pY","EN5 5UE","7","57","https://www.google.com/maps/search/sandwich+shop/@51.6490995,-0.1563842,15z?hl=en&entry=ttu","https://www.google.com/maps/search/sandwich%20shop/@51.64909951995193,-0.15638423653233663,15z?hl=en","sandwich shop",,"7D High St","false","Subway","3.6","https://www.google.com/maps/search/?api=1&query=sandwich shop&query_place_id=ChIJ5ckPhoUXdkgRoqRjUNdo0pY"
"Unit 6, 45 The Mall, Selbourne Walk, London E17 7JR, United Kingdom","Sandwich shop","Fast food restaurant","Takeout Restaurant","Restaurant",,,,,,,,"Sandwich shop","London","GB","false","51.6254895","-0.1161344","Unit 6, 45 The Mall, Selbourne Walk","false","ChIJ9ZpTrBUNdkgR0uMnfBd_KfI","E17 7JR","8","105","https://www.google.com/maps/search/sandwich+shop/@51.6490995,-0.1563842,15z?hl=en&entry=ttu","https://www.google.com/maps/search/sandwich%20shop/@51.64909951995193,-0.15638423653233663,15z?hl=en","sandwich shop",,"Unit 6, 45 The Mall, Selbourne Walk","false","Subway","3.9","https://www.google.com/maps/search/?api=1&query=sandwich shop&query_place_id=ChIJ9ZpTrBUNdkgR0uMnfBd_KfI"
"Ground Floor Shop Unit, 8 Aldermans Hill, London N13 4PJ, United Kingdom","Sandwich shop","Fast food restaurant","Takeout Restaurant","Restaurant",,,,,,,,"Sandwich shop","London","GB","false","51.6180059","-0.1094104","Ground Floor Shop Unit, 8 Aldermans Hill","false","ChIJxW-_BUcZdkgRtVqa8lqqQ1A","N13 4PJ","9","131","https://www.google.com/maps/search/sandwich+shop/@51.6490995,-0.1563842,15z?hl=en&entry=ttu","https://www.google.com/maps/search/sandwich%20shop/@51.64909951995193,-0.15638423653233663,15z?hl=en","sandwich shop",,"Ground Floor Shop Unit, 8 Aldermans Hill","false","Subway","3.7","https://www.google.com/maps/search/?api=1&query=sandwich shop&query_place_id=ChIJxW-_BUcZdkgRtVqa8lqqQ1A"
"758 High Rd, London N12 9QG, United Kingdom","Sandwich shop","Fast food restaurant","Takeout Restaurant","Restaurant",,,,,,,,"Sandwich shop","London","GB","false","51.615164","-0.176439","758 High Rd","false","ChIJeW6orugZdkgRTZzy8QVrr-g","N12 9QG","10","178","https://www.google.com/maps/search/sandwich+shop/@51.6490995,-0.1563842,15z?hl=en&entry=ttu","https://www.google.com/maps/search/sandwich%20shop/@51.64909951995193,-0.15638423653233663,15z?hl=en","sandwich shop",,"758 High Rd","false","Subway","3.5","https://www.google.com/maps/search/?api=1&query=sandwich shop&query_place_id=ChIJeW6orugZdkgRTZzy8QVrr-g"
