BusinessName,PostCode,RatingValue
1 Lombard Street Restaurant,EC3V 9AA,5
14 Hills,EC3M 5AL,5
16WS Wine Bar,EC1A 9HY,5
21 Lombard Street,EC3V 9AH,5
21 West,EC1A 9HY,4
3 Leaf,E1 7DB,5
37 Jewry,EC3N 2ER,4
47 Ludgate,EC4M 7JZ,2
56 WS Wine Bar & Shop,,5
88 Wood Street Coffee Shop,EC2V 7DA,3
Abokado,E1 7DJ,5
Abokado,EC2N 2AN,5
Acai Berry The Amazon Boost,EC3V 3LP,5
Acer Restaurant Ltd,EC4M 9DD,AwaitingInspection
Addleshaw Goddard,EC1Y 4AG,5
Al Dente Monument,EC3R 8AJ,5
Alchemy Cafe,EC4V 6DU,5
Alfredos Sandwich Bar,EC2V 5BT,5
All Bar One,EC3R 5BA,4
All Bar One,EC4N 5AG,5
All Bar One,EC3A 7BD,5
Amt Coffee,EC2M 7PY,2
Amt Coffee,EC2M 7PY,5
Andrea,EC2N 1DX,5
Anokha,EC3A 5AY,5
Apulia,EC1A 9EJ,5
Aramark @ Cafe On Seven,EC3M 3BD,5
"Aramark, JP Morgan",EC4Y 0JP,5
"Argent, Aspen Insurance",EC3M 3BD,5
Argentinian Grill,EC3V 1LR,5
Arnold & Porter,EC2N 1HQ,5
Art Coffee & Sandwiches,EC4M 7JN,4
"Artigiano, Unit 8",EC4M 7DX,5
"Artizian Catering Ltd, Sackers",EC2V 7JE,5
"Artizian Catering, Commerzbank",EC2V 7PG,5
"Artizian, Chaucer",EC3M 3BD,5
Aspire Coaching And Training,EC2V 5AE,5
Assenheims 56,EC4N 4UA,5
Assenheims 56,EC4M 7JW,AwaitingInspection
Assenheims 56,EC2M 1RP,5
Assenheims 56,EC1A 9LA,5
Assenheims Catering Ltd,EC3R 5AR,5
Association Coffee,EC4M 7AW,5
Astronomer,E1 7JF,5
Atalian Servest Food Company,EC2V 7AN,5
Atalian Servest Food Company @ The London School of Music,EC2Y 9BH,5
Attendant Coffee Roasters,E1 6DB,5
Aux Merveilleux De Fred,EC3V 1LR,5
Axeperience,EC3N 1JJ,5
Baba Ganoush,EC3V 1LR,5
Babble City,EC2N 1HT,5
Back To Mine,EC2A 2BR,5
Bagel Factory,EC2M 1UT,AwaitingInspection
Balfour At Bow Wine Vaults,EC4M 9DQ,2
Balfour St Bart's,EC1A 9DY,5
Balls Brothers @ Minster Court,EC3R 7PP,5
Balls Brothers Austin Friars,EC2N 2HG,4
Bangalore Express,EC3V 0AT,5
Banh Mi Bay,EC4M 5SB,4
Banking Hall,EC3V 3ND,5
Bar 1790,EC4N 8AD,5
Bar Douro,EC2M 2PA,5
Bar Level -2,EC2Y 8DS,AwaitingInspection
Baraka Restaurant,EC2M 2PA,5
Barbican Bars,EC2Y 8DS,5
Barbican Brasserie By Searcys,EC2Y 8DS,5
Barbican Cinema Cafe Bar,EC2Y 8DS,5
"Barbican, 4TH Floor",EC3V 0BT,5
Barbie Green,EC2Y 5AU,5
Barcelona Tapas Bar & Restaurant,EC3A 7DT,2
Barings Investment Services Ltd,EC4M 7AN,5
Bartlett Mitchell,EC2Y 5EA,5
Bartlett Mitchell C/O Lewis Silkin,WC2A 1LG,5
Bartlett Mitchell Ltd,WC2A 1JA,5
Bartlett Mitchell Ltd,EC1A 2FG,5
"Bartlett Mitchell Ltd, Isg",EC3N 1AH,5
"Bartlett Mitchell Ltd, White & Case",EC2N 1DW,5
"Bartlett Mitchell Ltd, Worldpay",EC4N 8AF,5
"Bartlett Mitchell, Endurance Ins Ltd",EC3R 7BB,5
"Bartlett Mitchell, Fil Investment",EC4M 5AB,5
"Bartlett Mitchell, Gsma",EC4N 8AF,5
"Bartlett Mitchell, Octopus Investments",EC1N 2HT,5
"Bartlett Mitchell, Rabobank",EC4V 3DX,5
"Bartlett Mitchell, Thomas Miller",EC3M 4ST,5
Bart's Guild Shop,EC1A 7BE,5
Basils Sandwiches,EC3R 7NA,4
"Baxter Storey Ltd, Odgers Berndtson",EC4M 6XD,5
Baxterstorey,EC2Y 5AS,5
Baxterstorey,EC2M 4NP,5
Baxterstorey,EC4M 7DY,5
Baxterstorey - Eversheds,EC2V 7WS,5
Baxterstorey - Osborne Clarke LLP,EC2Y 5EA,5
Baxterstorey - Zurich London,EC3R 7NQ,5
Baxterstorey At Hachette UK,EC4Y 0DZ,5
Baxterstorey Limited,EC4A 1JP,5
Baxterstorey Limited,EC4R 3AD,5
Baxterstorey Ltd,EC2M 7EB,5
"Baxterstorey Ltd, M&G",EC3M 5AG,5
Baxterstorey Simmons&Simmons The Gallery,EC2Y 9AW,5
"Baxterstorey, Ace",EC3A 3BP,5
"Baxterstorey, Amazon",EC1A 2FD,5
"Baxterstorey, Basement,Deutsche Bank",EC2P 2AX,5
"Baxterstorey, Clyde & Co",EC3A 7AG,5
"Baxterstorey, Deutsche Bank",EC2A 2UU,5
"Baxterstorey, Deutsche Bank",EC2N 2DB,5
"Baxterstorey, Deutsche Bank",EC2P 2AX,5
"Baxterstorey, Deutsche Bank, 1ST FLR",EC2P 2AX,5
"Baxterstorey, Fti Consulting",EC1A 4HD,4
"Baxterstorey, Goldman Sachs",EC4A 4AU,5
"Baxterstorey, Herbert Smith LLP",EC2A 2EG,5
"BaxterStorey, Kuwait Investment Office",EC4V 5EY,5
"Baxterstorey, Level 7 & 8",EC2M 2QS,5
"Baxterstorey, Media Brands",EC4M 7EG,5
"Baxterstorey, Nationwide",EC2R 8AY,5
"Baxterstorey, Natixis",EC4R 2YA,5
"Baxterstorey, Pictet",EC2Y 5ET,5
"Baxterstorey, Price Forbes",EC3R 7BB,5
"Baxterstorey, Reed Smith",EC2A 2EW,5
"Baxterstorey, Starbucks",EC2N 2DL,5
"Baxterstorey, Swiss Re, 10TH Floor",EC3A 8BF,5
"Baxterstorey, Ubs Level 1",EC2M 2QS,5
"Baxterstorey,Liberty Specialist MKT",EC3M 3BY,5
Be At One,EC4R 9AT,5
Be At One,EC2N 1HT,5
Be At One,E1 6AN,5
